Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Owner,years_old,price_diff,devaluation_ratio,km_per_year,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
ciaz,2015,7.45,10.38,45000,0,8,-2.9300000000000006,-0.3662500000000001,5625.0,0,0,1
ritz,2012,3.1,5.98,51439,0,11,-2.8800000000000003,-0.26181818181818184,4676.272727272727,0,0,1
ritz,2011,2.35,4.89,54200,0,12,-2.5399999999999996,-0.21166666666666664,4516.666666666667,1,0,1
swift,2014,4.95,7.49,39000,0,9,-2.54,-0.2822222222222222,4333.333333333333,0,0,1
ertiga,2014,6.0,9.95,45000,0,9,-3.9499999999999993,-0.43888888888888883,5000.0,0,0,1
dzire,2014,5.5,8.06,45000,0,9,-2.5600000000000005,-0.2844444444444445,5000.0,0,0,1
dzire,2015,4.65,7.2,48767,0,8,-2.55,-0.31875,6095.875,1,0,1
800,2003,0.35,2.28,127000,0,20,-1.9299999999999997,-0.09649999999999999,6350.0,1,1,1
alto k10,2016,3.0,3.76,10079,0,7,-0.7599999999999998,-0.10857142857142854,1439.857142857143,1,0,1
sx4,2003,2.25,7.98,62000,0,20,-5.73,-0.28650000000000003,3100.0,1,0,1
baleno,2016,5.85,7.87,24524,0,7,-2.0200000000000005,-0.28857142857142865,3503.4285714285716,1,0,0
alto k10,2014,2.55,3.98,46706,0,9,-1.4300000000000002,-0.1588888888888889,5189.555555555556,1,0,1
sx4,2008,1.95,7.15,58000,0,15,-5.2,-0.3466666666666667,3866.6666666666665,1,0,1
dzire,2014,5.5,8.06,45780,0,9,-2.5600000000000005,-0.2844444444444445,5086.666666666667,0,0,1
omni,2012,1.25,2.69,50000,0,11,-1.44,-0.1309090909090909,4545.454545454545,1,0,1
ciaz,2014,7.5,12.04,15000,0,9,-4.539999999999999,-0.5044444444444444,1666.6666666666667,1,0,0
ritz,2013,2.65,4.89,64532,0,10,-2.2399999999999998,-0.22399999999999998,6453.2,1,0,1
wagon r,2006,1.05,4.15,65000,0,17,-3.1000000000000005,-0.1823529411764706,3823.529411764706,1,0,1
ertiga,2015,5.8,7.71,25870,0,8,-1.9100000000000001,-0.23875000000000002,3233.75,1,0,1
ciaz,2017,7.75,9.29,37000,0,6,-1.5399999999999991,-0.25666666666666654,6166.666666666667,1,0,0
fortuner,2015,23.0,30.61,40000,0,8,-7.609999999999999,-0.9512499999999999,5000.0,0,0,0
innova,2017,18.0,19.77,15000,0,6,-1.7699999999999996,-0.29499999999999993,2500.0,0,0,0
innova,2005,2.75,10.21,90000,0,18,-7.460000000000001,-0.4144444444444445,5000.0,1,1,1
corolla altis,2009,3.6,15.04,70000,0,14,-11.44,-0.8171428571428571,5000.0,1,0,0
etios cross,2015,4.5,7.27,40534,0,8,-2.7699999999999996,-0.34624999999999995,5066.75,1,0,1
corolla altis,2010,4.75,18.54,50000,0,13,-13.79,-1.0607692307692307,3846.153846153846,1,0,1
etios g,2014,4.1,6.8,39485,1,9,-2.7,-0.30000000000000004,4387.222222222223,1,0,1
corolla altis,2013,6.95,18.61,40001,0,10,-11.66,-1.166,4000.1,1,0,1
etios cross,2015,4.5,7.7,40588,0,8,-3.2,-0.4,5073.5,1,0,1
etios liva,2014,4.75,6.95,45000,0,9,-2.2,-0.24444444444444446,5000.0,0,0,1
innova,2017,19.75,23.15,11000,0,6,-3.3999999999999986,-0.5666666666666664,1833.3333333333333,1,0,0
fortuner,2010,9.25,20.45,59000,0,13,-11.2,-0.8615384615384615,4538.461538461538,0,0,1
corolla altis,2011,4.35,13.74,88000,0,12,-9.39,-0.7825000000000001,7333.333333333333,1,0,1
corolla altis,2016,14.25,20.91,12000,0,7,-6.66,-0.9514285714285714,1714.2857142857142,1,0,1
etios liva,2014,3.95,6.76,71000,0,9,-2.8099999999999996,-0.3122222222222222,7888.888888888889,0,0,1
corolla altis,2011,4.5,12.48,45000,0,12,-7.98,-0.665,3750.0,0,0,1
corolla altis,2013,7.45,18.61,56001,0,10,-11.16,-1.116,5600.1,1,0,1
etios liva,2011,2.65,5.71,43000,0,12,-3.06,-0.255,3583.3333333333335,1,0,1
etios cross,2014,4.9,8.93,83000,0,9,-4.029999999999999,-0.4477777777777777,9222.222222222223,0,0,1
etios g,2015,3.95,6.8,36000,0,8,-2.8499999999999996,-0.35624999999999996,4500.0,1,0,1
corolla altis,2013,5.5,14.68,72000,0,10,-9.18,-0.9179999999999999,7200.0,1,0,1
corolla,2004,1.5,12.35,135154,0,19,-10.85,-0.5710526315789474,7113.368421052632,1,0,0
corolla altis,2016,14.73,14.89,23000,0,7,-0.16000000000000014,-0.022857142857142878,3285.714285714286,0,0,1
etios gd,2015,4.75,7.85,40000,0,8,-3.0999999999999996,-0.38749999999999996,5000.0,0,0,1
innova,2017,23.0,25.39,15000,0,6,-2.3900000000000006,-0.39833333333333343,2500.0,0,0,0
innova,2015,12.5,13.46,38000,0,8,-0.9600000000000009,-0.1200000000000001,4750.0,0,0,1
corolla altis,2012,5.9,13.74,56000,0,11,-7.84,-0.7127272727272728,5090.909090909091,1,0,1
etios liva,2013,3.45,6.05,47000,0,10,-2.5999999999999996,-0.25999999999999995,4700.0,1,0,1
etios g,2014,4.75,6.76,40000,0,9,-2.01,-0.2233333333333333,4444.444444444444,1,0,1
innova,2014,11.25,16.09,58242,0,9,-4.84,-0.5377777777777778,6471.333333333333,0,0,1
innova,2005,3.51,13.7,75000,0,18,-10.19,-0.5661111111111111,4166.666666666667,1,0,1
fortuner,2015,23.0,30.61,40000,0,8,-7.609999999999999,-0.9512499999999999,5000.0,0,0,0
corolla altis,2012,5.85,18.61,72000,0,11,-12.76,-1.16,6545.454545454545,1,0,1
innova,2016,20.75,25.39,29000,0,7,-4.640000000000001,-0.6628571428571429,4142.857142857143,0,0,0
corolla altis,2017,17.0,18.64,8700,0,6,-1.6400000000000006,-0.27333333333333343,1450.0,1,0,1
corolla altis,2013,7.05,18.61,45000,0,10,-11.559999999999999,-1.156,4500.0,1,0,1
fortuner,2010,9.65,20.45,50024,0,13,-10.799999999999999,-0.8307692307692307,3848.0,0,0,1
Royal Enfield Thunder 500,2016,1.75,1.9,3000,0,7,-0.1499999999999999,-0.021428571428571415,428.57142857142856,1,1,1
UM Renegade Mojave,2017,1.7,1.82,1400,0,6,-0.1200000000000001,-0.020000000000000018,233.33333333333334,1,1,1
KTM RC200,2017,1.65,1.78,4000,0,6,-0.13000000000000012,-0.021666666666666685,666.6666666666666,1,1,1
Bajaj Dominar 400,2017,1.45,1.6,1200,0,6,-0.15000000000000013,-0.025000000000000022,200.0,1,1,1
Royal Enfield Classic 350,2017,1.35,1.47,4100,0,6,-0.11999999999999988,-0.01999999999999998,683.3333333333334,1,1,1
KTM RC390,2015,1.35,2.37,21700,0,8,-1.02,-0.1275,2712.5,1,1,1
Hyosung GT250R,2014,1.35,3.45,16500,1,9,-2.1,-0.23333333333333334,1833.3333333333333,1,1,1
Royal Enfield Thunder 350,2013,1.25,1.5,15000,0,10,-0.25,-0.025,1500.0,1,1,1
Royal Enfield Thunder 350,2016,1.2,1.5,18000,0,7,-0.30000000000000004,-0.042857142857142864,2571.4285714285716,1,1,1
Royal Enfield Classic 350,2017,1.2,1.47,11000,0,6,-0.27,-0.045000000000000005,1833.3333333333333,1,1,1
KTM RC200,2016,1.2,1.78,6000,0,7,-0.5800000000000001,-0.08285714285714287,857.1428571428571,1,1,1
Royal Enfield Thunder 350,2016,1.15,1.5,8700,0,7,-0.3500000000000001,-0.05000000000000001,1242.857142857143,1,1,1
KTM 390 Duke ,2014,1.15,2.4,7000,0,9,-1.25,-0.1388888888888889,777.7777777777778,1,1,1
Mahindra Mojo XT300,2016,1.15,1.4,35000,0,7,-0.25,-0.03571428571428571,5000.0,1,1,1
Royal Enfield Classic 350,2015,1.15,1.47,17000,0,8,-0.32000000000000006,-0.04000000000000001,2125.0,1,1,1
Royal Enfield Classic 350,2015,1.11,1.47,17500,0,8,-0.3599999999999999,-0.044999999999999984,2187.5,1,1,1
Royal Enfield Classic 350,2013,1.1,1.47,33000,0,10,-0.3699999999999999,-0.03699999999999999,3300.0,1,1,1
Royal Enfield Thunder 500,2015,1.1,1.9,14000,0,8,-0.7999999999999998,-0.09999999999999998,1750.0,1,1,1
Royal Enfield Classic 350,2015,1.1,1.47,26000,0,8,-0.3699999999999999,-0.046249999999999986,3250.0,1,1,1
Royal Enfield Thunder 500,2013,1.05,1.9,5400,0,10,-0.8499999999999999,-0.08499999999999999,540.0,1,1,1
Bajaj Pulsar RS200,2016,1.05,1.26,5700,0,7,-0.20999999999999996,-0.029999999999999995,814.2857142857143,1,1,1
Royal Enfield Thunder 350,2011,1.05,1.5,6900,0,12,-0.44999999999999996,-0.0375,575.0,1,1,1
Royal Enfield Bullet 350,2016,1.05,1.17,6000,0,7,-0.11999999999999988,-0.017142857142857126,857.1428571428571,1,1,1
Royal Enfield Classic 350,2013,1.0,1.47,46500,0,10,-0.47,-0.047,4650.0,1,1,1
Royal Enfield Classic 500,2012,0.95,1.75,11500,0,11,-0.8,-0.07272727272727274,1045.4545454545455,1,1,1
Royal Enfield Classic 500,2009,0.9,1.75,40000,0,14,-0.85,-0.060714285714285714,2857.1428571428573,1,1,1
Bajaj Avenger 220,2017,0.9,0.95,1300,0,6,-0.04999999999999993,-0.008333333333333323,216.66666666666666,1,1,1
Bajaj Avenger 150,2016,0.75,0.8,7000,0,7,-0.050000000000000044,-0.00714285714285715,1000.0,1,1,1
Honda CB Hornet 160R,2017,0.8,0.87,3000,0,6,-0.06999999999999995,-0.011666666666666659,500.0,1,1,1
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,0,6,-0.05999999999999994,-0.00999999999999999,833.3333333333334,1,1,1
Honda CB Hornet 160R,2017,0.75,0.87,11000,0,6,-0.12,-0.02,1833.3333333333333,1,1,1
Yamaha FZ 16,2015,0.75,0.82,18000,0,8,-0.06999999999999995,-0.008749999999999994,2250.0,1,1,1
Bajaj Avenger 220,2017,0.75,0.95,3500,0,6,-0.19999999999999996,-0.033333333333333326,583.3333333333334,1,1,1
Bajaj Avenger 220,2016,0.72,0.95,500,0,7,-0.22999999999999998,-0.032857142857142856,71.42857142857143,1,1,1
TVS Apache RTR 160,2017,0.65,0.81,11800,0,6,-0.16000000000000003,-0.026666666666666672,1966.6666666666667,1,1,1
Bajaj Pulsar 150,2015,0.65,0.74,5000,0,8,-0.08999999999999997,-0.011249999999999996,625.0,1,1,1
Honda CBR 150,2014,0.65,1.2,23500,0,9,-0.5499999999999999,-0.0611111111111111,2611.1111111111113,1,1,1
Hero Extreme,2013,0.65,0.787,16000,0,10,-0.137,-0.0137,1600.0,1,1,1
Honda CB Hornet 160R,2016,0.6,0.87,15000,0,7,-0.27,-0.038571428571428576,2142.8571428571427,1,1,1
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,0,8,-0.35,-0.04375,2075.0,1,1,1
Honda CBR 150,2013,0.6,1.2,32000,0,10,-0.6,-0.06,3200.0,1,1,1
Bajaj Avenger 150 street,2016,0.6,0.8,20000,0,7,-0.20000000000000007,-0.02857142857142858,2857.1428571428573,1,1,1
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,0,8,-0.24,-0.03,3625.0,1,1,1
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,0,7,-0.24,-0.03428571428571429,3571.4285714285716,1,1,1
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,0,9,-0.39,-0.043333333333333335,2777.777777777778,1,1,1
TVS Apache RTR 160,2012,0.6,0.81,19000,0,11,-0.21000000000000008,-0.0190909090909091,1727.2727272727273,1,1,1
Hero Extreme,2014,0.55,0.787,15000,0,9,-0.237,-0.026333333333333334,1666.6666666666667,1,1,1
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,0,8,-0.2899999999999999,-0.03624999999999999,7250.0,1,1,1
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,0,13,-0.41999999999999993,-0.0323076923076923,3461.5384615384614,1,1,1
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,0,7,-0.42999999999999994,-0.06142857142857142,3428.5714285714284,1,1,1
TVS Apache RTR 180,2011,0.5,0.826,6000,0,12,-0.32599999999999996,-0.027166666666666662,500.0,1,1,1
Hero Passion X pro,2016,0.5,0.55,31000,0,7,-0.050000000000000044,-0.00714285714285715,4428.571428571428,1,1,1
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,0,11,-0.49,-0.04454545454545455,1181.8181818181818,1,1,1
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,0,10,-0.49,-0.049,4500.0,1,1,1
Yamaha Fazer ,2014,0.5,0.88,8000,0,9,-0.38,-0.042222222222222223,888.8888888888889,1,1,1
Honda Activa 4G,2017,0.48,0.51,4300,0,6,-0.030000000000000027,-0.0050000000000000044,716.6666666666666,1,1,0
TVS Sport ,2017,0.48,0.52,15000,0,6,-0.040000000000000036,-0.006666666666666672,2500.0,1,1,1
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,0,8,-0.36,-0.045,2875.0,1,1,1
Honda Dream Yuga ,2017,0.48,0.54,8600,0,6,-0.06000000000000005,-0.010000000000000009,1433.3333333333333,1,1,1
Honda Activa 4G,2017,0.45,0.51,4000,0,6,-0.06,-0.01,666.6666666666666,1,1,0
Bajaj Avenger Street 220,2011,0.45,0.95,24000,0,12,-0.49999999999999994,-0.041666666666666664,2000.0,1,1,1
TVS Apache RTR 180,2014,0.45,0.826,23000,0,9,-0.37599999999999995,-0.041777777777777775,2555.5555555555557,1,1,1
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,0,11,-0.54,-0.049090909090909095,1318.1818181818182,1,1,1
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,0,13,-0.49999999999999994,-0.03846153846153846,2076.923076923077,1,1,1
Hero Splender iSmart,2016,0.45,0.54,14000,0,7,-0.09000000000000002,-0.01285714285714286,2000.0,1,1,1
Activa 3g,2016,0.45,0.54,500,0,7,-0.09000000000000002,-0.01285714285714286,71.42857142857143,1,1,0
Hero Passion Pro,2016,0.45,0.55,1000,0,7,-0.10000000000000003,-0.01428571428571429,142.85714285714286,1,1,1
TVS Apache RTR 160,2014,0.42,0.81,42000,0,9,-0.39000000000000007,-0.04333333333333334,4666.666666666667,1,1,1
Honda CB Trigger,2013,0.42,0.73,12000,0,10,-0.31,-0.031,1200.0,1,1,1
Hero Splender iSmart,2015,0.4,0.54,14000,0,8,-0.14,-0.0175,1750.0,1,1,1
Yamaha FZ S ,2012,0.4,0.83,5500,0,11,-0.42999999999999994,-0.039090909090909086,500.0,1,1,1
Hero Passion Pro,2015,0.4,0.55,6700,0,8,-0.15000000000000002,-0.018750000000000003,837.5,1,1,1
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,0,9,-0.24,-0.026666666666666665,1522.2222222222222,1,1,1
Activa 4g,2017,0.4,0.51,1300,0,6,-0.10999999999999999,-0.01833333333333333,216.66666666666666,1,1,0
Honda CB Unicorn,2015,0.38,0.72,38600,0,8,-0.33999999999999997,-0.042499999999999996,4825.0,1,1,1
Hero Honda CBZ extreme,2011,0.38,0.787,75000,0,12,-0.40700000000000003,-0.03391666666666667,6250.0,1,1,1
Honda Karizma,2011,0.35,1.05,30000,0,12,-0.7000000000000001,-0.05833333333333334,2500.0,1,1,1
Honda Activa 125,2016,0.35,0.57,24000,0,7,-0.21999999999999997,-0.031428571428571424,3428.5714285714284,1,1,0
TVS Jupyter,2014,0.35,0.52,19000,0,9,-0.17000000000000004,-0.018888888888888893,2111.1111111111113,1,1,0
Hero Honda Passion Pro,2012,0.3,0.51,60000,0,11,-0.21000000000000002,-0.019090909090909092,5454.545454545455,1,1,1
Hero Splender Plus,2016,0.3,0.48,50000,0,7,-0.18,-0.025714285714285714,7142.857142857143,1,1,1
Honda CB Shine,2013,0.3,0.58,30000,0,10,-0.27999999999999997,-0.027999999999999997,3000.0,1,1,1
Bajaj Discover 100,2013,0.27,0.47,21000,0,10,-0.19999999999999996,-0.019999999999999997,2100.0,1,1,1
Bajaj Pulsar 150,2008,0.25,0.75,26000,1,15,-0.5,-0.03333333333333333,1733.3333333333333,1,1,1
Suzuki Access 125,2008,0.25,0.58,1900,0,15,-0.32999999999999996,-0.022,126.66666666666667,1,1,0
TVS Wego,2010,0.25,0.52,22000,0,13,-0.27,-0.02076923076923077,1692.3076923076924,1,1,0
Honda CB twister,2013,0.25,0.51,32000,0,10,-0.26,-0.026000000000000002,3200.0,1,1,1
Hero Glamour,2013,0.25,0.57,18000,0,10,-0.31999999999999995,-0.031999999999999994,1800.0,1,1,1
Hero Super Splendor,2005,0.2,0.57,55000,0,18,-0.36999999999999994,-0.020555555555555553,3055.5555555555557,1,1,1
Bajaj Pulsar 150,2008,0.2,0.75,60000,0,15,-0.55,-0.03666666666666667,4000.0,1,1,1
Bajaj Discover 125,2012,0.2,0.57,25000,1,11,-0.36999999999999994,-0.03363636363636363,2272.7272727272725,1,1,1
Hero Hunk,2007,0.2,0.75,49000,1,16,-0.55,-0.034375,3062.5,1,1,1
Hero  Ignitor Disc,2013,0.2,0.65,24000,1,10,-0.45,-0.045,2400.0,1,1,1
Hero  CBZ Xtreme,2008,0.2,0.787,50000,0,15,-0.587,-0.03913333333333333,3333.3333333333335,1,1,1
Bajaj  ct 100,2015,0.18,0.32,35000,0,8,-0.14,-0.0175,4375.0,1,1,1
Honda CB twister,2010,0.16,0.51,33000,0,13,-0.35,-0.02692307692307692,2538.4615384615386,1,1,1
Bajaj Discover 125,2011,0.15,0.57,35000,1,12,-0.41999999999999993,-0.034999999999999996,2916.6666666666665,1,1,1
Honda CB Shine,2007,0.12,0.58,53000,0,16,-0.45999999999999996,-0.028749999999999998,3312.5,1,1,1
Bajaj Pulsar 150,2006,0.1,0.75,92233,0,17,-0.65,-0.03823529411764706,5425.470588235294,1,1,1
i20,2010,3.25,6.79,58000,1,13,-3.54,-0.2723076923076923,4461.538461538462,0,0,1
grand i10,2015,4.4,5.7,28200,0,8,-1.2999999999999998,-0.16249999999999998,3525.0,1,0,1
i10,2011,2.95,4.6,53460,0,12,-1.6499999999999995,-0.13749999999999996,4455.0,1,0,1
eon,2015,2.75,4.43,28282,0,8,-1.6799999999999997,-0.20999999999999996,3535.25,1,0,1
grand i10,2016,5.25,5.7,3493,1,7,-0.4500000000000002,-0.06428571428571431,499.0,1,0,1
xcent,2017,5.75,7.13,12479,0,6,-1.38,-0.22999999999999998,2079.8333333333335,1,0,1
grand i10,2015,5.15,5.7,34797,0,8,-0.5499999999999998,-0.06874999999999998,4349.625,1,0,0
i20,2017,7.9,8.1,3435,0,6,-0.1999999999999993,-0.033333333333333215,572.5,1,0,1
grand i10,2015,4.85,5.7,21125,0,8,-0.8500000000000005,-0.10625000000000007,2640.625,0,0,1
i10,2012,3.1,4.6,35775,0,11,-1.4999999999999996,-0.13636363636363633,3252.2727272727275,1,0,1
elantra,2015,11.75,14.79,43535,0,8,-3.039999999999999,-0.3799999999999999,5441.875,0,0,1
creta,2016,11.25,13.6,22671,0,7,-2.3499999999999996,-0.3357142857142857,3238.714285714286,1,0,1
i20,2011,2.9,6.79,31604,0,12,-3.89,-0.32416666666666666,2633.6666666666665,1,0,1
grand i10,2017,5.25,5.7,20114,0,6,-0.4500000000000002,-0.07500000000000002,3352.3333333333335,1,0,1
verna,2012,4.5,9.4,36100,0,11,-4.9,-0.4454545454545455,3281.818181818182,1,0,1
eon,2016,2.9,4.43,12500,0,7,-1.5299999999999998,-0.21857142857142856,1785.7142857142858,1,0,1
eon,2016,3.15,4.43,15000,0,7,-1.2799999999999998,-0.18285714285714283,2142.8571428571427,1,0,1
verna,2014,6.45,9.4,45078,0,9,-2.95,-0.3277777777777778,5008.666666666667,1,0,1
verna,2012,4.5,9.4,36000,0,11,-4.9,-0.4454545454545455,3272.7272727272725,1,0,1
eon,2017,3.5,4.43,38488,0,6,-0.9299999999999997,-0.15499999999999994,6414.666666666667,1,0,1
i20,2013,4.5,6.79,32000,0,10,-2.29,-0.229,3200.0,1,0,0
i20,2014,6.0,7.6,77632,0,9,-1.5999999999999996,-0.17777777777777773,8625.777777777777,0,0,1
verna,2015,8.25,9.4,61381,0,8,-1.1500000000000004,-0.14375000000000004,7672.625,0,0,1
verna,2013,5.11,9.4,36198,0,10,-4.29,-0.429,3619.8,1,0,0
i10,2011,2.7,4.6,22517,0,12,-1.8999999999999995,-0.1583333333333333,1876.4166666666667,1,0,1
grand i10,2015,5.25,5.7,24678,0,8,-0.4500000000000002,-0.05625000000000002,3084.75,1,0,1
i10,2011,2.55,4.43,57000,0,12,-1.88,-0.15666666666666665,4750.0,1,0,1
verna,2012,4.95,9.4,60000,0,11,-4.45,-0.40454545454545454,5454.545454545455,0,0,1
i20,2012,3.1,6.79,52132,0,11,-3.69,-0.33545454545454545,4739.272727272727,0,0,1
verna,2013,6.15,9.4,45000,0,10,-3.25,-0.325,4500.0,0,0,1
verna,2017,9.25,9.4,15001,0,6,-0.15000000000000036,-0.02500000000000006,2500.1666666666665,1,0,1
elantra,2015,11.45,14.79,12900,0,8,-3.34,-0.4175,1612.5,1,0,0
grand i10,2013,3.9,5.7,53000,0,10,-1.8000000000000003,-0.18000000000000002,5300.0,0,0,1
grand i10,2015,5.5,5.7,4492,0,8,-0.20000000000000018,-0.025000000000000022,561.5,1,0,1
verna,2017,9.1,9.4,15141,0,6,-0.3000000000000007,-0.05000000000000012,2523.5,1,0,1
eon,2016,3.1,4.43,11849,0,7,-1.3299999999999996,-0.18999999999999995,1692.7142857142858,1,0,1
creta,2015,11.25,13.6,68000,0,8,-2.3499999999999996,-0.29374999999999996,8500.0,0,0,1
verna,2013,4.8,9.4,60241,0,10,-4.6000000000000005,-0.4600000000000001,6024.1,1,0,1
eon,2012,2.0,4.43,23709,0,11,-2.4299999999999997,-0.2209090909090909,2155.3636363636365,1,0,1
verna,2012,5.35,9.4,32322,0,11,-4.050000000000001,-0.3681818181818182,2938.3636363636365,0,0,1
xcent,2015,4.75,7.13,35866,1,8,-2.38,-0.2975,4483.25,1,0,1
xcent,2014,4.4,7.13,34000,0,9,-2.7299999999999995,-0.3033333333333333,3777.777777777778,1,0,1
i20,2016,6.25,7.6,7000,0,7,-1.3499999999999996,-0.1928571428571428,1000.0,1,0,1
verna,2013,5.95,9.4,49000,0,10,-3.45,-0.34500000000000003,4900.0,0,0,1
verna,2012,5.2,9.4,71000,0,11,-4.2,-0.38181818181818183,6454.545454545455,0,0,1
i20,2012,3.75,6.79,35000,0,11,-3.04,-0.27636363636363637,3181.818181818182,1,0,1
verna,2015,5.95,9.4,36000,0,8,-3.45,-0.43125,4500.0,1,0,1
i10,2013,4.0,4.6,30000,0,10,-0.5999999999999996,-0.05999999999999996,3000.0,1,0,1
i20,2016,5.25,7.6,17000,0,7,-2.3499999999999996,-0.3357142857142857,2428.5714285714284,1,0,1
creta,2016,12.9,13.6,35934,0,7,-0.6999999999999993,-0.0999999999999999,5133.428571428572,0,0,1
city,2013,5.0,9.9,56701,0,10,-4.9,-0.49000000000000005,5670.1,1,0,1
brio,2015,5.4,6.82,31427,0,8,-1.42,-0.1775,3928.375,1,0,0
city,2014,7.2,9.9,48000,0,9,-2.7,-0.30000000000000004,5333.333333333333,0,0,1
city,2013,5.25,9.9,54242,0,10,-4.65,-0.465,5424.2,1,0,1
brio,2012,3.0,5.35,53675,0,11,-2.3499999999999996,-0.2136363636363636,4879.545454545455,1,0,1
city,2016,10.25,13.6,49562,0,7,-3.3499999999999996,-0.47857142857142854,7080.285714285715,1,0,1
city,2015,8.5,13.6,40324,0,8,-5.1,-0.6375,5040.5,1,0,1
city,2015,8.4,13.6,25000,0,8,-5.199999999999999,-0.6499999999999999,3125.0,1,0,1
amaze,2014,3.9,7.0,36054,0,9,-3.1,-0.34444444444444444,4006.0,1,0,1
city,2016,9.15,13.6,29223,0,7,-4.449999999999999,-0.6357142857142856,4174.714285714285,1,0,1
brio,2016,5.5,5.97,5600,0,7,-0.46999999999999975,-0.0671428571428571,800.0,1,0,1
amaze,2015,4.0,5.8,40023,0,8,-1.7999999999999998,-0.22499999999999998,5002.875,1,0,1
jazz,2016,6.6,7.7,16002,0,7,-1.1000000000000005,-0.15714285714285722,2286.0,1,0,1
amaze,2015,4.0,7.0,40026,0,8,-3.0,-0.375,5003.25,1,0,1
jazz,2017,6.5,8.7,21200,0,6,-2.1999999999999993,-0.36666666666666653,3533.3333333333335,1,0,1
amaze,2014,3.65,7.0,35000,0,9,-3.35,-0.37222222222222223,3888.8888888888887,1,0,1
